engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso-socket,100M,S7,namedgraphs,P,00,1,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,01,1,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,02,1,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,03,1,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,04,1,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,05,1,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,06,1,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,07,1,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,08,1,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,09,1,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,00,2,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,01,2,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,02,2,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,03,2,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,04,2,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,05,2,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,06,2,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,07,2,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,08,2,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,09,2,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,00,3,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,01,3,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,02,3,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,03,3,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,04,3,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,05,3,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,06,3,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,07,3,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,08,3,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,09,3,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,00,4,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,01,4,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,02,4,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,03,4,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,04,4,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,05,4,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,06,4,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,07,4,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,08,4,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,09,4,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,00,5,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,01,5,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,02,5,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,03,5,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,04,5,0.002,200
virtuoso-socket,100M,S7,namedgraphs,P,05,5,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,06,5,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,07,5,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,08,5,0.003,200
virtuoso-socket,100M,S7,namedgraphs,P,09,5,0.002,200
