engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso-typ,100M,F5,namedgraphs,P,00,1,0.01598493754863739,200
virtuoso-typ,100M,F5,namedgraphs,P,01,1,0.021756233647465706,200
virtuoso-typ,100M,F5,namedgraphs,P,02,1,0.022330336272716522,200
virtuoso-typ,100M,F5,namedgraphs,P,03,1,0.018510984256863594,200
virtuoso-typ,100M,F5,namedgraphs,P,04,1,0.014657257124781609,200
virtuoso-typ,100M,F5,namedgraphs,P,05,1,0.02027510292828083,200
virtuoso-typ,100M,F5,namedgraphs,P,06,1,0.019846873357892036,200
virtuoso-typ,100M,F5,namedgraphs,P,07,1,0.014080017805099487,200
virtuoso-typ,100M,F5,namedgraphs,P,08,1,0.018194256350398064,200
virtuoso-typ,100M,F5,namedgraphs,P,09,1,0.01829974725842476,200
virtuoso-typ,100M,F5,namedgraphs,P,00,2,0.01053045317530632,200
virtuoso-typ,100M,F5,namedgraphs,P,01,2,0.018030378967523575,200
virtuoso-typ,100M,F5,namedgraphs,P,02,2,0.017907235771417618,200
virtuoso-typ,100M,F5,namedgraphs,P,03,2,0.014204952865839005,200
virtuoso-typ,100M,F5,namedgraphs,P,04,2,0.009379502385854721,200
virtuoso-typ,100M,F5,namedgraphs,P,05,2,0.015466319397091866,200
virtuoso-typ,100M,F5,namedgraphs,P,06,2,0.015201123431324959,200
virtuoso-typ,100M,F5,namedgraphs,P,07,2,0.00937548279762268,200
virtuoso-typ,100M,F5,namedgraphs,P,08,2,0.013896612450480461,200
virtuoso-typ,100M,F5,namedgraphs,P,09,2,0.01092190109193325,200
virtuoso-typ,100M,F5,namedgraphs,P,00,3,0.011129230260848999,200
virtuoso-typ,100M,F5,namedgraphs,P,01,3,0.017068814486265182,200
virtuoso-typ,100M,F5,namedgraphs,P,02,3,0.01807476207613945,200
virtuoso-typ,100M,F5,namedgraphs,P,03,3,0.014899704605340958,200
virtuoso-typ,100M,F5,namedgraphs,P,04,3,0.0096092838793993,200
virtuoso-typ,100M,F5,namedgraphs,P,05,3,0.01577935367822647,200
virtuoso-typ,100M,F5,namedgraphs,P,06,3,0.015352899208664894,200
virtuoso-typ,100M,F5,namedgraphs,P,07,3,0.009525427594780922,200
virtuoso-typ,100M,F5,namedgraphs,P,08,3,0.013878555968403816,200
virtuoso-typ,100M,F5,namedgraphs,P,09,3,0.011817911639809608,200
virtuoso-typ,100M,F5,namedgraphs,P,00,4,0.010464197024703026,200
virtuoso-typ,100M,F5,namedgraphs,P,01,4,0.017589827999472618,200
virtuoso-typ,100M,F5,namedgraphs,P,02,4,0.01813369244337082,200
virtuoso-typ,100M,F5,namedgraphs,P,03,4,0.014554519206285477,200
virtuoso-typ,100M,F5,namedgraphs,P,04,4,0.00960654765367508,200
virtuoso-typ,100M,F5,namedgraphs,P,05,4,0.015671929344534874,200
virtuoso-typ,100M,F5,namedgraphs,P,06,4,0.015218155458569527,200
virtuoso-typ,100M,F5,namedgraphs,P,07,4,0.009498687461018562,200
virtuoso-typ,100M,F5,namedgraphs,P,08,4,0.014546036720275879,200
virtuoso-typ,100M,F5,namedgraphs,P,09,4,0.011280115693807602,200
virtuoso-typ,100M,F5,namedgraphs,P,00,5,0.010515354573726654,200
virtuoso-typ,100M,F5,namedgraphs,P,01,5,0.017423855140805244,200
virtuoso-typ,100M,F5,namedgraphs,P,02,5,0.01798611506819725,200
virtuoso-typ,100M,F5,namedgraphs,P,03,5,0.014391602948307991,200
virtuoso-typ,100M,F5,namedgraphs,P,04,5,0.009672192856669426,200
virtuoso-typ,100M,F5,namedgraphs,P,05,5,0.01593455672264099,200
virtuoso-typ,100M,F5,namedgraphs,P,06,5,0.016005095094442368,200
virtuoso-typ,100M,F5,namedgraphs,P,07,5,0.009440546855330467,200
virtuoso-typ,100M,F5,namedgraphs,P,08,5,0.01373402401804924,200
virtuoso-typ,100M,F5,namedgraphs,P,09,5,0.011036476120352745,200
