engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso-typ,100M,L2,namedgraphs,P,00,1,0.028663212433457375,200
virtuoso-typ,100M,L2,namedgraphs,P,01,1,0.12836123630404472,200
virtuoso-typ,100M,L2,namedgraphs,P,02,1,0.13344998471438885,200
virtuoso-typ,100M,L2,namedgraphs,P,03,1,0.1279674768447876,200
virtuoso-typ,100M,L2,namedgraphs,P,04,1,0.1268977764993906,200
virtuoso-typ,100M,L2,namedgraphs,P,05,1,0.12548252008855343,200
virtuoso-typ,100M,L2,namedgraphs,P,06,1,0.1282297894358635,200
virtuoso-typ,100M,L2,namedgraphs,P,07,1,0.01571669615805149,200
virtuoso-typ,100M,L2,namedgraphs,P,08,1,0.1255180835723877,200
virtuoso-typ,100M,L2,namedgraphs,P,09,1,0.01904028281569481,200
virtuoso-typ,100M,L2,namedgraphs,P,00,2,0.02572721615433693,200
virtuoso-typ,100M,L2,namedgraphs,P,01,2,0.12863603606820107,200
virtuoso-typ,100M,L2,namedgraphs,P,02,2,0.12626831978559494,200
virtuoso-typ,100M,L2,namedgraphs,P,03,2,0.12729263119399548,200
virtuoso-typ,100M,L2,namedgraphs,P,04,2,0.127150384709239,200
virtuoso-typ,100M,L2,namedgraphs,P,05,2,0.12502534687519073,200
virtuoso-typ,100M,L2,namedgraphs,P,06,2,0.1269337758421898,200
virtuoso-typ,100M,L2,namedgraphs,P,07,2,0.014158515259623528,200
virtuoso-typ,100M,L2,namedgraphs,P,08,2,0.12669266946613789,200
virtuoso-typ,100M,L2,namedgraphs,P,09,2,0.016552450135350227,200
virtuoso-typ,100M,L2,namedgraphs,P,00,3,0.027020564302802086,200
virtuoso-typ,100M,L2,namedgraphs,P,01,3,0.12990436889231205,200
virtuoso-typ,100M,L2,namedgraphs,P,02,3,0.12515724450349808,200
virtuoso-typ,100M,L2,namedgraphs,P,03,3,0.12401776388287544,200
virtuoso-typ,100M,L2,namedgraphs,P,04,3,0.12640371546149254,200
virtuoso-typ,100M,L2,namedgraphs,P,05,3,0.1264935452491045,200
virtuoso-typ,100M,L2,namedgraphs,P,06,3,0.12664348632097244,200
virtuoso-typ,100M,L2,namedgraphs,P,07,3,0.014324778690934181,200
virtuoso-typ,100M,L2,namedgraphs,P,08,3,0.14521936513483524,200
virtuoso-typ,100M,L2,namedgraphs,P,09,3,0.016554726287722588,200
virtuoso-typ,100M,L2,namedgraphs,P,00,4,0.025685805827379227,200
virtuoso-typ,100M,L2,namedgraphs,P,01,4,0.12462086416780949,200
virtuoso-typ,100M,L2,namedgraphs,P,02,4,0.12651505693793297,200
virtuoso-typ,100M,L2,namedgraphs,P,03,4,0.1274187806993723,200
virtuoso-typ,100M,L2,namedgraphs,P,04,4,0.12701260298490524,200
virtuoso-typ,100M,L2,namedgraphs,P,05,4,0.12610688246786594,200
virtuoso-typ,100M,L2,namedgraphs,P,06,4,0.1268805544823408,200
virtuoso-typ,100M,L2,namedgraphs,P,07,4,0.014163404703140259,200
virtuoso-typ,100M,L2,namedgraphs,P,08,4,0.12628735601902008,200
virtuoso-typ,100M,L2,namedgraphs,P,09,4,0.016681784763932228,200
virtuoso-typ,100M,L2,namedgraphs,P,00,5,0.026555830612778664,200
virtuoso-typ,100M,L2,namedgraphs,P,01,5,0.12618611380457878,200
virtuoso-typ,100M,L2,namedgraphs,P,02,5,0.125693928450346,200
virtuoso-typ,100M,L2,namedgraphs,P,03,5,0.12535469606518745,200
virtuoso-typ,100M,L2,namedgraphs,P,04,5,0.12634724006056786,200
virtuoso-typ,100M,L2,namedgraphs,P,05,5,0.12874115444719791,200
virtuoso-typ,100M,L2,namedgraphs,P,06,5,0.1253545954823494,200
virtuoso-typ,100M,L2,namedgraphs,P,07,5,0.013944612815976143,200
virtuoso-typ,100M,L2,namedgraphs,P,08,5,0.1262452956289053,200
virtuoso-typ,100M,L2,namedgraphs,P,09,5,0.01654970273375511,200
