engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso-typ,100M,S6,namedgraphs,P,00,1,0.006088435649871826,200
virtuoso-typ,100M,S6,namedgraphs,P,01,1,0.008400928229093552,200
virtuoso-typ,100M,S6,namedgraphs,P,02,1,0.00917106308043003,200
virtuoso-typ,100M,S6,namedgraphs,P,03,1,0.014901824295520782,200
virtuoso-typ,100M,S6,namedgraphs,P,04,1,0.006812822073698044,200
virtuoso-typ,100M,S6,namedgraphs,P,05,1,0.01159365102648735,200
virtuoso-typ,100M,S6,namedgraphs,P,06,1,0.008910220116376877,200
virtuoso-typ,100M,S6,namedgraphs,P,07,1,0.015258705243468285,200
virtuoso-typ,100M,S6,namedgraphs,P,08,1,0.0050789713859558105,200
virtuoso-typ,100M,S6,namedgraphs,P,09,1,0.012207217514514923,200
virtuoso-typ,100M,S6,namedgraphs,P,00,2,0.0026156753301620483,200
virtuoso-typ,100M,S6,namedgraphs,P,01,2,0.00622783787548542,200
virtuoso-typ,100M,S6,namedgraphs,P,02,2,0.006829293444752693,200
virtuoso-typ,100M,S6,namedgraphs,P,03,2,0.013068754225969315,200
virtuoso-typ,100M,S6,namedgraphs,P,04,2,0.005263470113277435,200
virtuoso-typ,100M,S6,namedgraphs,P,05,2,0.009347736835479736,200
virtuoso-typ,100M,S6,namedgraphs,P,06,2,0.006677919998764992,200
virtuoso-typ,100M,S6,namedgraphs,P,07,2,0.013231299817562103,200
virtuoso-typ,100M,S6,namedgraphs,P,08,2,0.003038659691810608,200
virtuoso-typ,100M,S6,namedgraphs,P,09,2,0.01018570363521576,200
virtuoso-typ,100M,S6,namedgraphs,P,00,3,0.0028968174010515213,200
virtuoso-typ,100M,S6,namedgraphs,P,01,3,0.006227007135748863,200
virtuoso-typ,100M,S6,namedgraphs,P,02,3,0.007106436416506767,200
virtuoso-typ,100M,S6,namedgraphs,P,03,3,0.013031642884016037,200
virtuoso-typ,100M,S6,namedgraphs,P,04,3,0.0049238186329603195,200
virtuoso-typ,100M,S6,namedgraphs,P,05,3,0.009308328852057457,200
virtuoso-typ,100M,S6,namedgraphs,P,06,3,0.006915275007486343,200
virtuoso-typ,100M,S6,namedgraphs,P,07,3,0.01349077932536602,200
virtuoso-typ,100M,S6,namedgraphs,P,08,3,0.002826198935508728,200
virtuoso-typ,100M,S6,namedgraphs,P,09,3,0.010362647473812103,200
virtuoso-typ,100M,S6,namedgraphs,P,00,4,0.002706313505768776,200
virtuoso-typ,100M,S6,namedgraphs,P,01,4,0.006209176033735275,200
virtuoso-typ,100M,S6,namedgraphs,P,02,4,0.00710473395884037,200
virtuoso-typ,100M,S6,namedgraphs,P,03,4,0.012816788628697395,200
virtuoso-typ,100M,S6,namedgraphs,P,04,4,0.0048234593123197556,200
virtuoso-typ,100M,S6,namedgraphs,P,05,4,0.009313991293311119,200
virtuoso-typ,100M,S6,namedgraphs,P,06,4,0.0069137513637542725,200
virtuoso-typ,100M,S6,namedgraphs,P,07,4,0.013367816805839539,200
virtuoso-typ,100M,S6,namedgraphs,P,08,4,0.0033301841467618942,200
virtuoso-typ,100M,S6,namedgraphs,P,09,4,0.010222863405942917,200
virtuoso-typ,100M,S6,namedgraphs,P,00,5,0.002860024571418762,200
virtuoso-typ,100M,S6,namedgraphs,P,01,5,0.006283663213253021,200
virtuoso-typ,100M,S6,namedgraphs,P,02,5,0.007114319130778313,200
virtuoso-typ,100M,S6,namedgraphs,P,03,5,0.01304049976170063,200
virtuoso-typ,100M,S6,namedgraphs,P,04,5,0.004678888246417046,200
virtuoso-typ,100M,S6,namedgraphs,P,05,5,0.00931323878467083,200
virtuoso-typ,100M,S6,namedgraphs,P,06,5,0.006969345733523369,200
virtuoso-typ,100M,S6,namedgraphs,P,07,5,0.013423331081867218,200
virtuoso-typ,100M,S6,namedgraphs,P,08,5,0.003096792846918106,200
virtuoso-typ,100M,S6,namedgraphs,P,09,5,0.009935792535543442,200
